geo,TIME_PERIOD,OBS_VALUE,
LI,2014,37129,
LI,2015,37366,
LI,2016,37622,
LI,2017,37810,
LI,2018,38114,
LI,2019,38378,
LI,2020,38747,
LI,2021,39055,
LI,2022,39308,
LI,2023,39679,
LT,2012,3003641,
LT,2013,2971905,
LT,2014,2943472,
LT,2015,2921262,
LT,2016,2888558,
LT,2017,2847904,
LT,2018,2808901,
LT,2019,2794184,
LT,2020,2794090,
LT,2021,2795680,
LT,2022,2805998,
LT,2023,2857279,
LU,2012,524853,
LU,2013,537039,
LU,2014,549680,
LU,2015,562958,
LU,2016,576249,
LU,2017,590667,
LU,2018,602005,
LU,2019,613894,
LU,2020,626108,
LU,2021,634730,
LU,2022,645397,
LU,2023,660809,
LV,2012,2044813,
LV,2013,2023825,
LV,2014,2001468,
LV,2015,1986096,
LV,2016,1968957,
LV,2017,1950116,
LV,2018,1934379,
LV,2019,1919968,
LV,2020,1907675,
LV,2021,1893223,
LV,2022,1875757,
LV,2023,1883008,
MC,2015,37700,
MC,2016,38200,
MC,2018,38300,
MC,2019,38300,
MD,2012,3559541,
MD,2013,3559497,
MD,2014,2869226,
MD,2015,2844673,
MD,2016,2824387,
MD,2017,2779952,
MD,2018,2730364,
MD,2019,2686064,
MD,2020,2640438,
MD,2021,2597107,
MD,2022,2603729,
MD,2023,2512758,
ME,2012,620308,
ME,2013,620893,
ME,2014,621521,
ME,2015,622099,
ME,2016,622218,
ME,2017,622387,
ME,2018,622359,
ME,2019,622182,
ME,2020,621873,
ME,2021,620739,
ME,2022,617683,
ME,2023,616695,
MK,2012,2059794,
MK,2013,2062294,
MK,2014,2065769,
MK,2015,2069172,
MK,2016,2071278,
MK,2017,2073702,
MK,2018,2075301,
MK,2019,2077132,
MK,2020,2076255,
MK,2021,2068808,
MK,2022,1837114,
MK,2023,1829954,
MT,2012,417546,
MT,2013,422509,
MT,2014,429424,
MT,2015,439691,
MT,2016,450415,
MT,2017,460297,
MT,2018,475701,
MT,2019,493559,
MT,2020,514564,
MT,2021,516100,
MT,2022,520971,
MT,2023,542051,
NL,2012,16730348,
NL,2013,16779575,
NL,2014,16829289,
NL,2015,16900726,
NL,2016,16979120,
NL,2017,17081507,
NL,2018,17181084,
NL,2019,17282163,
NL,2020,17407585,
NL,2021,17475415,
NL,2022,17590672,
NL,2023,17811291,
NO,2012,4985870,
NO,2013,5051275,
NO,2014,5107970,
NO,2015,5166493,
NO,2016,5210721,
NO,2017,5258317,
NO,2018,5295619,
NO,2019,5328212,
NO,2020,5367580,
NO,2021,5391369,
NO,2022,5425270,
NO,2023,5488984,
PL,2012,38063792,
PL,2013,38062535,
PL,2014,38017856,
PL,2015,38005614,
PL,2016,37967209,
PL,2017,37972964,
PL,2018,37976687,
PL,2019,37972812,
PL,2020,37958138,
PL,2021,37840001,
PL,2022,37654247,
PL,2023,36753736,
PT,2012,10542398,
PT,2013,10487289,
PT,2014,10427301,
PT,2015,10374822,
PT,2016,10341330,
PT,2017,10309573,
PT,2018,10291027,
PT,2019,10276617,
PT,2020,10295909,
PT,2021,10298252,
PT,2022,10352042,
PT,2023,10467366,
RO,2012,20095996,
RO,2013,20020074,
RO,2014,19947311,
RO,2015,19870647,
RO,2016,19760585,
RO,2017,19643949,
RO,2018,19533481,
RO,2019,19414458,
RO,2020,19328838,
RO,2021,19201662,
RO,2022,19042455,
RO,2023,19051562,
RS,2012,7216649,
RS,2013,7181505,
RS,2014,7146759,
RS,2015,7114393,
RS,2016,7076372,
RS,2017,7040272,
RS,2018,7001444,
RS,2019,6963764,
RS,2020,6926705,
RS,2021,6871547,
RS,2022,6797105,
RS,2023,6664449,
RU,2012,143056383,
RU,2014,143666931,
SE,2012,9482855,
SE,2013,9555893,
SE,2014,9644864,
SE,2015,9747355,
SE,2016,9851017,
SE,2017,9995153,
SE,2018,10120242,
SE,2019,10230185,
SE,2020,10327589,
SE,2021,10379295,
SE,2022,10452326,
SE,2023,10521556,
SI,2012,2055496,
SI,2013,2058821,
SI,2014,2061085,
SI,2015,2062874,
SI,2016,2064188,
SI,2017,2065895,
SI,2018,2066880,
SI,2019,2080908,
SI,2020,2095861,
SI,2021,2108977,
SI,2022,2107180,
SI,2023,2116792,
SK,2012,5404322,
SK,2013,5410836,
SK,2014,5415949,
SK,2015,5421349,
SK,2016,5426252,
SK,2017,5435343,
SK,2018,5443120,
SK,2019,5450421,
SK,2020,5457873,
SK,2021,5459781,
SK,2022,5434712,
SK,2023,5428792,
SM,2012,33376,
SM,2013,33562,
SM,2014,32520,
SM,2015,32789,
SM,2016,33005,
SM,2017,33196,
SM,2018,34453,
SM,2019,34590,
SM,2020,34735,
SM,2021,34805,
SM,2022,33698,
SM,2023,33812,
TR,2012,74724269,
TR,2013,75627384,
TR,2014,76667864,
TR,2015,77695904,
TR,2016,78741053,
TR,2017,79814871,
TR,2018,80810525,
TR,2019,82003882,
TR,2020,83154997,
TR,2021,83614362,
TR,2022,84680273,
TR,2023,85279553,
UA,2012,45453282,
UA,2013,45372692,
UA,2014,45245894,
UA,2015,42759661,
UA,2016,42590879,
UA,2017,42414905,
UA,2018,42216766,
UA,2019,41983564,
UA,2020,41732779,
UA,2021,41418717,
UA,2022,40997698,
UK,2012,63495088,
UK,2013,63905342,
UK,2014,64351203,
UK,2015,64853393,
UK,2016,65379044,
UK,2017,65844142,
UK,2018,66273576,
UK,2019,66647112,
UK,2020,67025542,
XK,2012,1780021,
XK,2013,1815606,
XK,2014,1820631,
XK,2015,1804944,
XK,2016,1771604,
XK,2017,1783531,
XK,2018,1798506,
XK,2019,1795666,
XK,2020,1782115,
XK,2021,1798188,
